"109年09月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","50,129,577","21,681,382,412","430.00","435.00","428.00","435.00","+8.50","17,137",
"109/09/02","42,013,407","18,268,716,092","441.00","441.00","430.50","433.00","-2.00","20,242",
"109/09/03","40,683,617","17,768,951,582","439.50","439.50","433.50","436.00","+3.00","17,810",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

