Security Code & Security Name	ISIN Code	Date Listed	Market	Industrial Group	CFICode	Remarks
1439¡@CWT	TW0001439008	1989/05/22	TWSE LISTED	Textile	ESVUFR	
1440¡@TAINAN SPINNING	TW0001440006	1989/10/03	TWSE LISTED	Textile	ESVUFR	
1441¡@TAH TONG	TW0001441004	1989/10/27	TWSE LISTED	Textile	ESVUFR	
1442¡@ADVANCETEK	TW0001442002	1989/11/16	TWSE LISTED	Building Material&Construction	ESVUFR	
1443¡@LILYTEXTILE	TW0001443000	1990/04/21	TWSE LISTED	Textile	ESVUFR	
1444¡@LEALEA	TW0001444008	1990/08/08	TWSE LISTED	Textile	ESVUFR	
1445¡@UNIVERSAL	TW0001445005	1991/02/05	TWSE LISTED	Textile	ESVUFR	
1446¡@HONG HO	TW0001446003	1991/10/15	TWSE LISTED	Textile	ESVUFR	
1447¡@LP	TW0001447001	1992/01/28	TWSE LISTED	Textile	ESVUFR	
1449¡@CHIA HER	TW0001449007	1992/03/12	TWSE LISTED	Textile	ESVUFR	
1451¡@NIEN HSING	TW0001451003	1992/12/21	TWSE LISTED	Textile	ESVUFR	
1452¡@HONG YI	TW0001452001	1992/12/28	TWSE LISTED	Textile	ESVUFR	
1453¡@TA JIANG	TW0001453009	1993/04/19	TWSE LISTED	Textile	ESVUFR	
1454¡@TTF	TW0001454007	1993/05/07	TWSE LISTED	Textile	ESVUFR	
1455¡@ZIG SHENG	TW0001455004	1993/10/07	TWSE LISTED	Textile	ESVUFR	
1456¡@I-HWA	TW0001456002	1993/12/09	TWSE LISTED	Textile	ESVUFR	
1457¡@YI JINN	TW0001457000	1994/10/20	TWSE LISTED	Textile	ESVUFR	
1459¡@LAN FA	TW0001459006	1994/10/26	TWSE LISTED	Textile	ESVUFR	
1460¡@EVEREST	TW0001460004	1995/04/28	TWSE LISTED	Textile	ESVUFR	
1463¡@CS	TW0001463008	1996/12/05	TWSE LISTED	Textile	ESVUFR	
1464¡@DE LICACY	TW0001464006	1997/01/18	TWSE LISTED	Textile	ESVUFR	
1465¡@WISHER	TW0001465003	1997/09/08	TWSE LISTED	Textile	ESVUFR	
1466¡@ACELON	TW0001466001	1998/04/04	TWSE LISTED	Textile	ESVUFR	
1467¡@TEX-RAY	TW0001467009	1998/12/21	TWSE LISTED	Textile	ESVUFR	
1468¡@CHANG HO	TW0001468007	1999/01/21	TWSE LISTED	Textile	ESVUFR	
1470¡@EVERTEX	TW0001470003	1999/05/21	TWSE LISTED	Textile	ESVUFR	
1471¡@SL	TW0001471001	2000/03/06	TWSE LISTED	Electronic Parts/Components	ESVUFR	
1472¡@TRI OCEAN	TW0001472009	2000/09/11	TWSE LISTED	Textile	ESVUFR	
1473¡@TAINAN	TW0001473007	2000/09/11	TWSE LISTED	Textile	ESVUFR	
1474¡@HONMYUE	TW0001474005	2000/10/31	TWSE LISTED	Textile	ESVUFR	
1475¡@SUMAGH	TW0001475002	2000/10/27	TWSE LISTED	Textile	ESVUFR	
1476¡@ECLAT	TW0001476000	2001/04/18	TWSE LISTED	Textile	ESVUFR	
1477¡@MAKALOT	TW0001477008	2003/01/21	TWSE LISTED	Textile	ESVUFR	
1503¡@SEEC	TW0001503001	1969/12/15	TWSE LISTED	Electric Machinery	ESVUFR	
1504¡@TECO	TW0001504009	1973/11/05	TWSE LISTED	Electric Machinery	ESVUFR	
1506¡@R.W.	TW0001506004	1980/08/11	TWSE LISTED	Electric Machinery	ESVUFR	
1507¡@YUNGTAY	TW0001507002	1989/11/09	TWSE LISTED	Electric Machinery	ESVUFR	
1512¡@JL	TW0001512002	1994/01/28	TWSE LISTED	Automobile	ESVUFR	
1513¡@CHEM	TW0001513000	1994/03/08	TWSE LISTED	Electric Machinery	ESVUFR	
1514¡@AEC	TW0001514008	1994/03/26	TWSE LISTED	Electric Machinery	ESVUFR	
1515¡@REXON	TW0001515005	1995/02/04	TWSE LISTED	Electric Machinery	ESVUFR	
1516¡@FALCON	TW0001516003	1995/04/01	TWSE LISTED	Others	ESVUFR	
1517¡@LEE CHI	TW0001517001	1995/11/14	TWSE LISTED	Electric Machinery	ESVUFR	
1519¡@FE	TW0001519007	1997/04/16	TWSE LISTED	Electric Machinery	ESVUFR	
